"","Rater","Sample","Overlap","Semester","Sex","RsrchQ","CritDes","InitEDA","SelMeth","InterpRes","VisOrg","TxtOrg","Artifact","Repeated"
"1",3,1,5,"Fall","M",3,3,2,2,2,2,3,"O5",1
"2",3,2,7,"Fall","F",3,3,3,3,3,3,3,"O7",1
"3",3,3,9,"Spring","F",2,1,3,2,3,3,3,"O9",1
"4",3,4,8,"Spring","M",2,2,2,1,1,1,1,"O8",1
"5",3,5,NA,"Fall","--",3,3,3,3,3,3,3,"5",0
"6",3,6,NA,"Fall","M",2,1,2,2,2,2,2,"6",0
"7",3,7,NA,"Fall","F",2,1,3,2,2,2,2,"7",0
"8",3,8,NA,"Spring","F",2,1,2,2,2,2,2,"8",0
"9",3,9,NA,"Spring","F",3,1,2,2,2,2,2,"9",0
"10",3,10,10,"Fall","F",2,1,2,2,3,2,3,"O10",1
"11",3,11,13,"Fall","M",2,2,2,2,2,3,3,"O13",1
"12",3,12,11,"Spring","F",3,1,2,2,3,2,3,"O11",1
"13",3,13,NA,"Fall","F",2,2,1,1,1,1,1,"13",0
"14",3,15,NA,"Fall","M",2,3,3,2,2,4,3,"15",0
"15",3,16,NA,"Fall","F",2,3,4,2,3,3,4,"16",0
"16",3,17,NA,"Spring","F",3,2,2,1,2,2,2,"17",0
"17",3,18,12,"Fall","F",2,2,2,2,2,2,3,"O12",1
"18",3,19,1,"Fall","M",2,1,3,1,2,2,2,"O1",1
"19",3,20,4,"Fall","M",2,2,2,3,3,2,3,"O4",1
"20",3,21,NA,"Spring","M",3,3,4,2,3,3,4,"21",0
"21",3,22,NA,"Fall","F",3,3,3,2,3,2,3,"22",0
"22",3,23,NA,"Spring","F",2,1,1,1,1,1,1,"23",0
"23",3,24,NA,"Fall","F",2,2,2,2,2,2,3,"24",0
"24",3,25,NA,"Spring","F",2,3,2,1,1,2,2,"25",0
"25",3,26,NA,"Fall","M",2,1,2,3,2,2,2,"26",0
"26",3,27,NA,"Fall","M",2,2,3,2,2,2,3,"27",0
"27",3,28,NA,"Spring","M",1,1,1,1,1,1,1,"28",0
"28",3,29,6,"Fall","F",2,1,2,2,2,2,2,"O6",1
"29",3,30,2,"Fall","M",2,1,2,1,2,2,2,"O2",1
"30",3,31,3,"Fall","F",3,2,2,2,2,3,3,"O3",1
"31",3,32,NA,"Fall","M",3,3,3,2,3,3,3,"32",0
"32",3,33,NA,"Fall","M",2,2,3,3,2,2,2,"33",0
"33",3,34,NA,"Fall","M",2,3,2,3,3,2,2,"34",0
"34",3,35,NA,"Fall","F",2,1,2,2,2,3,2,"35",0
"35",3,36,NA,"Fall","F",2,2,2,2,2,2,3,"36",0
"36",3,37,NA,"Fall","M",2,3,2,2,2,2,3,"37",0
"37",3,38,NA,"Fall","M",2,2,2,2,2,3,2,"38",0
"38",3,39,NA,"Spring","F",3,1,3,2,2,2,2,"39",0
"39",3,40,NA,"Fall","M",2,2,3,2,2,2,2,"40",0
"40",2,41,5,"Fall","M",2,3,2,3,3,2,3,"O5",1
"41",2,42,7,"Fall","F",2,2,3,2,3,3,3,"O7",1
"42",2,43,9,"Spring","F",2,1,3,2,3,3,3,"O9",1
"43",2,44,8,"Spring","M",1,2,2,2,2,1,2,"O8",1
"44",2,45,NA,"Spring","F",2,NA,2,2,2,2,3,"45",0
"45",2,46,NA,"Spring","F",2,2,3,2,2,2,2,"46",0
"46",2,47,NA,"Spring","M",3,3,2,1,2,1,1,"47",0
"47",2,48,NA,"Fall","M",3,3,4,3,3,2,4,"48",0
"48",2,49,NA,"Fall","M",3,1,3,2,3,4,3,"49",0
"49",2,50,10,"Fall","F",2,1,2,2,2,3,2,"O10",1
"50",2,51,13,"Fall","M",2,2,3,2,2,3,3,"O13",1
"51",2,52,11,"Spring","F",3,1,2,2,3,2,3,"O11",1
"52",2,53,NA,"Fall","F",3,4,3,3,3,3,3,"53",0
"53",2,54,NA,"Fall","M",1,1,3,2,2,2,3,"54",0
"54",2,55,NA,"Fall","F",3,2,2,2,3,3,2,"55",0
"55",2,56,NA,"Fall","F",2,3,2,2,2,3,2,"56",0
"56",2,57,NA,"Fall","M",2,1,2,2,2,3,3,"57",0
"57",2,58,12,"Fall","F",2,2,2,2,2,2,2,"O12",1
"58",2,59,1,"Fall","M",3,2,3,2,4,2,3,"O1",1
"59",2,60,4,"Fall","M",3,3,3,3,3,3,3,"O4",1
"60",2,61,NA,"Fall","M",2,2,3,2,2,3,4,"61",0
"61",2,62,NA,"Spring","F",3,4,4,2,3,4,3,"62",0
"62",2,63,NA,"Spring","F",3,3,3,2,3,3,3,"63",0
"63",2,64,NA,"Fall","F",2,3,2,2,3,3,3,"64",0
"64",2,65,NA,"Fall","F",3,3,2,2,1,3,3,"65",0
"65",2,66,NA,"Spring","F",3,3,4,2,3,3,2,"66",0
"66",2,67,NA,"Fall","F",3,1,3,2,3,3,1,"67",0
"67",2,68,NA,"Spring","M",3,3,2,2,3,3,3,"68",0
"68",2,69,6,"Fall","F",2,1,2,2,2,3,3,"O6",1
"69",2,70,2,"Fall","M",1,1,2,1,2,2,1,"O2",1
"70",2,71,3,"Fall","F",3,3,2,2,3,3,3,"O3",1
"71",2,72,NA,"Spring","F",2,2,3,2,3,3,2,"72",0
"72",2,73,NA,"Fall","F",2,1,1,2,2,2,3,"73",0
"73",2,74,NA,"Fall","M",2,1,3,3,3,3,2,"74",0
"74",2,75,NA,"Fall","F",2,2,3,2,3,2,2,"75",0
"75",2,76,NA,"Fall","M",2,2,2,2,2,2,2,"76",0
"76",2,77,NA,"Fall","M",2,2,2,2,3,3,2,"77",0
"77",2,78,NA,"Fall","M",3,3,3,3,3,3,3,"78",0
"78",2,79,NA,"Fall","M",3,2,3,3,3,3,3,"79",0
"79",1,80,5,"Fall","M",3,3,2,3,3,2,2,"O5",1
"80",1,81,7,"Fall","F",3,2,3,2,2,3,3,"O7",1
"81",1,82,9,"Spring","F",2,1,3,2,3,3,3,"O9",1
"82",1,83,8,"Spring","M",2,2,2,2,2,1,2,"O8",1
"83",1,84,NA,"Spring","M",3,2,2,2,3,3,3,"84",0
"84",1,85,NA,"Fall","M",4,3,3,2,3,3,3,"85",0
"85",1,86,NA,"Spring","F",3,2,2,2,3,2,3,"86",0
"86",1,87,NA,"Fall","M",3,2,1,2,2,2,3,"87",0
